clauseId,subDomainId,weight,source
NIS2-C13,D-10.3,1.0,PHASE1_MAPPING
NIS2-C14,D-08.1,1.0,PHASE1_MAPPING
NIS2-C15,D-08.2,1.0,PHASE1_MAPPING
NIS2-C16,D-01.1,1.0,PHASE1_MAPPING
NIS2-C17,D-01.2,1.0,PHASE1_MAPPING
NIS2-C18,D-01.3,1.0,PHASE1_MAPPING
NIS2-C19,D-03.1,1.0,PHASE1_MAPPING
NIS2-C20,D-03.2,1.0,PHASE1_MAPPING
NIS2-C21,D-03.3,1.0,PHASE1_MAPPING
NIS2-C22,D-10.2,1.0,PHASE1_MAPPING
NIS2-C23,D-06.1,1.0,PHASE1_MAPPING
NIS2-C24,D-06.4,1.0,PHASE1_MAPPING
NIS2-C25,D-04.3,1.0,PHASE1_MAPPING
NIS2-C26,D-04.3,1.0,PHASE1_MAPPING
NIS2-C27,D-04.3,1.0,PHASE1_MAPPING
NIS2-C28,D-04.1,1.0,PHASE1_MAPPING
NIS2-C29,D-10.1,1.0,PHASE1_MAPPING
DORA-C01,D-09.1,1.0,PHASE1_MAPPING
DORA-C02,D-08.3,1.0,PHASE1_MAPPING
DORA-C03,D-09.1,1.0,PHASE1_MAPPING
DORA-C04,D-09.2,1.0,PHASE1_MAPPING
DORA-C05,D-09.3,1.0,PHASE1_MAPPING
DORA-C06,D-07.4,1.0,PHASE1_MAPPING
DORA-C07,D-10.2,1.0,PHASE1_MAPPING
DORA-C08,D-02.1,1.0,PHASE1_MAPPING
DORA-C09,D-01.1,1.0,PHASE1_MAPPING
DORA-C10,D-01.2,1.0,PHASE1_MAPPING
DORA-C11,D-01.4,1.0,PHASE1_MAPPING
DORA-C12,D-10.2,1.0,PHASE1_MAPPING
DORA-C13,D-02.2,1.0,PHASE1_MAPPING
DORA-C14,D-03.2,1.0,PHASE1_MAPPING
DORA-C15,D-03.1,1.0,PHASE1_MAPPING
DORA-C16,D-03.3,1.0,PHASE1_MAPPING
DORA-C17,D-01.3,1.0,PHASE1_MAPPING
DORA-C18,D-07.1,1.0,PHASE1_MAPPING
DORA-C19,D-07.1,1.0,PHASE1_MAPPING
DORA-C20,D-10.1,1.0,PHASE1_MAPPING
DORA-C21,D-04.1,1.0,PHASE1_MAPPING
DORA-C22,D-04.2,1.0,PHASE1_MAPPING
DORA-C23,D-04.4,1.0,PHASE1_MAPPING
DORA-C24,D-04.2,1.0,PHASE1_MAPPING
DORA-C25,D-04.4,1.0,PHASE1_MAPPING
DORA-C26,D-02.2,1.0,PHASE1_MAPPING
DORA-C27,D-08.1,1.0,PHASE1_MAPPING
DORA-C28,D-08.2,1.0,PHASE1_MAPPING
DORA-C29,D-04.3,1.0,PHASE1_MAPPING
DORA-C30,D-04.1,1.0,PHASE1_MAPPING
DORA-C31,D-04.3,1.0,PHASE1_MAPPING
DORA-C32,D-10.3,1.0,PHASE1_MAPPING
DORA-C33,D-10.3,1.0,PHASE1_MAPPING
DORA-C34,D-07.3,1.0,PHASE1_MAPPING
DORA-C35,D-06.1,1.0,PHASE1_MAPPING
DORA-C36,D-06.1,1.0,PHASE1_MAPPING
DORA-C37,D-06.3,1.0,PHASE1_MAPPING
DORA-C38,D-06.4,1.0,PHASE1_MAPPING
AIA-C01,D-09.2,1.0,PHASE1_MAPPING
AIA-C02,D-09.2,1.0,PHASE1_MAPPING
AIA-C03,D-02.1,1.0,PHASE1_MAPPING
AIA-C04,D-07.3,1.0,PHASE1_MAPPING
AIA-C05,D-05.1,1.0,PHASE1_MAPPING
AIA-C06,D-05.1,1.0,PHASE1_MAPPING
AIA-C07,D-05.3,1.0,PHASE1_MAPPING
AIA-C08,D-05.1,1.0,PHASE1_MAPPING
AIA-C09,D-10.2,1.0,PHASE1_MAPPING
AIA-C10,D-10.2,1.0,PHASE1_MAPPING
AIA-C11,D-09.4,1.0,PHASE1_MAPPING
AIA-C12,D-09.1,1.0,PHASE1_MAPPING
AIA-C13,D-09.1,1.0,PHASE1_MAPPING
AIA-C14,D-08.2,1.0,PHASE1_MAPPING
AIA-C15,D-08.2,1.0,PHASE1_MAPPING
AIA-C16,D-02.1,1.0,PHASE1_MAPPING
AIA-C17,D-01.4,1.0,PHASE1_MAPPING
AIA-C18,D-01.4,1.0,PHASE1_MAPPING
AIA-C19,D-10.2,1.0,PHASE1_MAPPING
AIA-C20,D-09.1,1.0,PHASE1_MAPPING
AIA-C21,D-10.3,1.0,PHASE1_MAPPING
AIA-C22,D-09.2,1.0,PHASE1_MAPPING
AIA-C23,D-09.1,1.0,PHASE1_MAPPING
AIA-C24,D-08.2,1.0,PHASE1_MAPPING
AIA-C25,D-10.1,1.0,PHASE1_MAPPING
AIA-C26,D-04.3,1.0,PHASE1_MAPPING
AIA-C27,D-10.3,1.0,PHASE1_MAPPING
AIA-C28,D-09.2,1.0,PHASE1_MAPPING
AIA-C29,D-04.3,1.0,PHASE1_MAPPING
