clauseId,articleId,regulationId,number,summary,description,obligatedParty,obligationType,normativeIntensity,applicable,applicabilityReason,sourceReference,crossReferences
GDPR-C23,GDPR-Art34,GDPR,,Regulatory Notification,Breach notification to data subject when breach likely to result in high risk to rights and freedoms,CONTROLLER,TRIGGERED,3,YES,,,
GDPR-C24,GDPR-Art5,GDPR,,Impact & Risk Assessments,Data Protection Impact Assessment (DPIA) mandatory prior to high-risk processing operations,CONTROLLER,ONE_TIME,2,YES,,,
GDPR-C25,GDPR-Art5,GDPR,,Information Security Policies,"DPIA must include systematic description of processing and purposes, necessity assessment, risk assessment",CONTROLLER,ONE_TIME,2,YES,,,
GDPR-C26,GDPR-Art7,GDPR,,Information Security Policies,Designation of Data Protection Officer where required (scale/nature of processing),CONTROLLER,ONE_TIME,2,YES,,,
GDPR-C27,GDPR-Art39,GDPR,,General Security Awareness,DPO task: monitoring compliance; training of staff involved in processing operations,CONTROLLER,PERIODIC,2,YES,,,
GDPR-C28,GDPR-Art39,GDPR,,Role-Specific Competence,DPO task: raising awareness and training staff who carry out processing (role-specific obligations),CONTROLLER,PERIODIC,2,YES,,,
CRA-C01,CRA-AnnexI,CRA,,Vulnerability Identification,No known exploitable vulnerabilities at delivery; products designed with no known exploitable vulnerabilities,MANUFACTURER,ONE_TIME,2,YES,,,
CRA-C02,CRA-AnnexI,CRA,,Secure-by-Design Principles,Secure by default configuration; product delivered in most secure default state,MANUFACTURER,ONE_TIME,2,YES,,,
CRA-C03,CRA-AnnexI,CRA,,Secure System Defaults,"Secure default configuration: disable unused ports, services, interfaces; no default passwords",MANUFACTURER,ONE_TIME,2,YES,,,
CRA-C04,CRA-AnnexI,CRA,,Patch Management & Updates,"Security updates: product can receive security updates, including automatic update mechanisms",MANUFACTURER,ONE_TIME,2,YES,,,
CRA-C05,CRA-AnnexI,CRA,,Identity Lifecycle Management,"Protection from unauthorised access: authentication, identity management and access control measures",MANUFACTURER,ONE_TIME,2,YES,,,
CRA-C06,CRA-AnnexI,CRA,,Multi-Factor Authentication,Authentication controls including where appropriate multi-factor or continuous authentication,MANUFACTURER,ONE_TIME,2,YES,,,
CRA-C07,CRA-AnnexI,CRA,,Data at Rest Encryption,Protection of confidentiality of stored data: encryption of personal and other sensitive data at rest,MANUFACTURER,CONTINUOUS,3,YES,,,
CRA-C08,CRA-AnnexI,CRA,,Data in Transit Encryption,Protection of confidentiality of transmitted data: encryption of data in transit,MANUFACTURER,CONTINUOUS,3,YES,,,
CRA-C09,CRA-AnnexI,CRA,,Data Integrity Mechanisms,"Protection of integrity: no unauthorised manipulation of data, commands or configuration",MANUFACTURER,CONTINUOUS,3,YES,,,
CRA-C10,CRA-AnnexI,CRA,,Data Minimization,Data minimization in product design: process only data necessary for intended function,MANUFACTURER,ONE_TIME,2,YES,,,
CRA-C11,CRA-AnnexI,CRA,,Containment & Mitigation,Availability protection: resilience against denial-of-service attacks; limit impact of DoS,MANUFACTURER,ONE_TIME,2,YES,,,
CRA-C12,CRA-AnnexI,CRA,,Continuous Security Monitoring,"Limit attack surface: product minimises attack surface including interfaces, unnecessary functions",MANUFACTURER,CONTINUOUS,3,YES,,,
CRA-C13,CRA-AnnexI,CRA,,Incident Detection & Triage,Reduce impact of incidents: design to limit severity of exploits; fail-safe mechanisms,MANUFACTURER,ONE_TIME,2,YES,,,
CRA-C14,CRA-AnnexI,CRA,,Audit Logging & Traceability,Record and monitor internal activity: logging of security-relevant events; audit trail of access,MANUFACTURER,CONTINUOUS,3,YES,,,
CRA-C15,CRA-AnnexI,CRA,,Cryptographic Key Management,Secure and verifiable updates: authentication of updates; cryptographic integrity verification,MANUFACTURER,CONTINUOUS,3,YES,,,
CRA-C16,CRA-AnnexI,CRA,,Right to Erasure,Secure permanent data removal by users: product allows complete and secure data deletion,MANUFACTURER,ONE_TIME,2,YES,,,
CRA-C17,CRA-AnnexI,CRA,,Vulnerability Identification,Vulnerability identification and documentation: identify and document components; produce SBOM,MANUFACTURER,CONTINUOUS,3,YES,,,
CRA-C18,CRA-AnnexI,CRA,,SBOM,Software Bill of Materials: document all third-party components and dependencies in machine-readable format,MANUFACTURER,CONTINUOUS,3,YES,,,
CRA-C19,CRA-AnnexI,CRA,,Patch Management & Updates,Address vulnerabilities without delay: remediate vulnerabilities promptly; share information on fixes,MANUFACTURER,TRIGGERED,3,YES,,,
CRA-C20,CRA-AnnexI,CRA,,Compliance Testing,Regular testing of security: effective and regular testing and reviews of security of the product,MANUFACTURER,PERIODIC,2,YES,,,
CRA-C21,CRA-AnnexI,CRA,,Coordinated Vuln. Disclosure,Coordinated vulnerability disclosure policy: publish policy; responsible disclosure process,MANUFACTURER,CONTINUOUS,3,YES,,,
CRA-C22,CRA-Art13,CRA,,Secure-by-Design Principles,"Manufacturer obligation: design, develop and produce products in accordance with Annex I requirements",MANUFACTURER,ONE_TIME,2,YES,,,
CRA-C23,CRA-Art13,CRA,,Impact & Risk Assessments,Cybersecurity risk assessment: undertake and document assessment before placing product on market,MANUFACTURER,ONE_TIME,2,YES,,,
CRA-C24,CRA-Art13,CRA,,Information Security Policies,Technical documentation: maintain documentation demonstrating conformity for 10 years after placing on market,MANUFACTURER,CONTINUOUS,3,YES,,,
CRA-C25,CRA-Art14,CRA,,Regulatory Notification,Notify actively exploited vulnerability to CSIRT/ENISA: early warning within 24h; notification within 72h,MANUFACTURER,TRIGGERED,3,YES,,,
CRA-C26,CRA-Art14,CRA,,Coordinated Vuln. Disclosure,Notify severe incidents impacting security of product: report to ENISA and relevant CSIRTs,MANUFACTURER,TRIGGERED,3,YES,,,
NIS2-C01,NIS2-Art20,NIS2,,Information Security Policies,Management body approval and oversight of risk management measures; accountability at board level,ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C02,NIS2-Art20,NIS2,,Management Board Training,Management body members must undergo cybersecurity training; ensure sufficient knowledge to govern risks,ESSENTIAL_OR_IMPORTANT_ENTITY,PERIODIC,2,YES,,,
NIS2-C03,NIS2-Art21,NIS2,,Information Security Policies,"Risk analysis and information system security policies: documented, board-approved security policies",ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C04,NIS2-Art21,NIS2,,Impact & Risk Assessments,Risk analysis: systematic identification and assessment of risks to network and information systems,ESSENTIAL_OR_IMPORTANT_ENTITY,PERIODIC,2,YES,,,
NIS2-C05,NIS2-Art21,NIS2,,Containment & Mitigation,"Incident handling: procedures for containment, mitigation and recovery from incidents",ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C06,NIS2-Art21,NIS2,,Data Restoration & Recovery,"Business continuity: backup management, disaster recovery and crisis management procedures",ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C07,NIS2-Art21,NIS2,,Data Restoration & Recovery,Business continuity and crisis management: continuity of essential services after major incidents,ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C08,NIS2-Art21,NIS2,,Vendor Risk Assessment,Supply chain security: assess and manage security risks from direct suppliers and service providers,ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C09,NIS2-Art21,NIS2,,Contractual Security Obligations,Supply chain: security-related aspects in relationships between entities and their direct suppliers,ESSENTIAL_OR_IMPORTANT_ENTITY,ONE_TIME,2,YES,,,
NIS2-C10,NIS2-Art21,NIS2,,Secure-by-Design Principles,"Security in network/IS acquisition, development and maintenance: integrate security into development lifecycle",ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C11,NIS2-Art21,NIS2,,CI/CD Pipeline Security,"Security in acquisition, development and maintenance of network and information systems; secure pipelines",ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C12,NIS2-Art21,NIS2,,Vulnerability Identification,Vulnerability handling and disclosure: identify and manage vulnerabilities in systems and components,ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C13,NIS2-Art21,NIS2,,Compliance Testing,Policies and procedures to assess effectiveness of cybersecurity risk-management measures,ESSENTIAL_OR_IMPORTANT_ENTITY,PERIODIC,2,YES,,,
NIS2-C14,NIS2-Art21,NIS2,,General Security Awareness,Basic cyber hygiene practices and cybersecurity training for all staff,ESSENTIAL_OR_IMPORTANT_ENTITY,PERIODIC,2,YES,,,
NIS2-C15,NIS2-Art21,NIS2,,Role-Specific Competence,Cybersecurity training: role-specific training for staff with security responsibilities,ESSENTIAL_OR_IMPORTANT_ENTITY,PERIODIC,2,YES,,,
NIS2-C16,NIS2-Art21,NIS2,,Data at Rest Encryption,Cryptography policies: use of cryptography for protection of data at rest,ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C17,NIS2-Art21,NIS2,,Data in Transit Encryption,Cryptography policies: use of encryption for protection of data in transit,ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C18,NIS2-Art21,NIS2,,Cryptographic Key Management,Cryptography policies: encryption key management as part of cryptographic controls,ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C19,NIS2-Art21,NIS2,,Identity Lifecycle Management,"Human resources security: staff vetting, onboarding and offboarding security procedures; access lifecycle",ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C20,NIS2-Art21,NIS2,,Authorization & Least Privilege,"Access control policies: role-based access, need-to-know principle, least privilege enforcement",ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C21,NIS2-Art21,NIS2,,Multi-Factor Authentication,Multi-factor authentication or continuous authentication solutions as mandatory baseline,ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C22,NIS2-Art21,NIS2,,Audit Logging & Traceability,"Secured voice, video and text communications; secured emergency communication systems; logging",ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C23,NIS2-Art21,NIS2,,Vendor Risk Assessment,Consider sector-specific supply chain risks when assessing supplier security posture,ESSENTIAL_OR_IMPORTANT_ENTITY,PERIODIC,2,YES,,,
NIS2-C24,NIS2-Art21,NIS2,,Third-Party Boundary Management,Supply chain boundary management: assess exposure from third-party connections to own systems,ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
NIS2-C25,NIS2-Art23,NIS2,,Regulatory Notification,Early warning to CSIRT or competent authority without undue delay and within 24 hours of awareness,ESSENTIAL_OR_IMPORTANT_ENTITY,TRIGGERED,3,YES,,,
NIS2-C26,NIS2-Art23,NIS2,,Regulatory Notification,Incident notification within 72 hours including initial assessment of severity and impact,ESSENTIAL_OR_IMPORTANT_ENTITY,TRIGGERED,3,YES,,,
NIS2-C27,NIS2-Art23,NIS2,,Regulatory Notification,"Final incident report within one month: detailed description, type of threat, root cause, cross-border impact",ESSENTIAL_OR_IMPORTANT_ENTITY,TRIGGERED,3,YES,,,
NIS2-C28,NIS2-Art23,NIS2,,Incident Detection & Triage,Significant incident determination: entities must classify incidents by impact on service continuity,ESSENTIAL_OR_IMPORTANT_ENTITY,TRIGGERED,3,YES,,,
NIS2-C29,NIS2-Art21,NIS2,,Continuous Security Monitoring,Incident detection mechanisms: ability to detect security events and classify as incidents in real time,ESSENTIAL_OR_IMPORTANT_ENTITY,CONTINUOUS,3,YES,,,
DORA-C01,DORA-Art5,DORA,,Information Security Policies,Management body responsible for ICT risk management framework; board accountability for ICT risk,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C02,DORA-Art5,DORA,,Management Board Training,Management body members keep up-to-date knowledge of ICT risk; regular training on digital resilience,FINANCIAL_ENTITY,PERIODIC,2,YES,,,
DORA-C03,,DORA,,Information Security Policies,"Sound, comprehensive and well-documented ICT risk management framework approved by management body",FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C04,,DORA,,Impact & Risk Assessments,ICT risk management framework: document all ICT risks; assess likelihood and impact of risk scenarios,FINANCIAL_ENTITY,PERIODIC,2,YES,,,
DORA-C05,,DORA,,Asset Inventories,"Identify and classify all ICT assets: hardware, software, data assets and ICT-related processes",FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C06,,DORA,,Change Management,ICT asset management: changes to ICT assets documented; configuration management for all assets,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C07,,DORA,,Continuous Security Monitoring,Continuously identify all sources of ICT risk including third-party exposure; implement detection tools,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C08,,DORA,,Vulnerability Identification,Identify and assess vulnerabilities in ICT systems; document and track all identified vulnerabilities,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C09,DORA-Art9,DORA,,Data at Rest Encryption,Protection of confidentiality and integrity: encryption of sensitive data at rest,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C10,DORA-Art9,DORA,,Data in Transit Encryption,Protection of data in transit: encryption of data during transmission across networks,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C11,DORA-Art9,DORA,,Data Integrity Mechanisms,Protection of integrity and availability of data: prevent unauthorised modification of data and systems,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C12,DORA-Art9,DORA,,Audit Logging & Traceability,Logging mechanisms: log all ICT-related activities; ensure traceability of operations and access,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C13,DORA-Art9,DORA,,Patch Management & Updates,ICT systems updates: policies and procedures for timely patching of vulnerabilities; update management,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C14,DORA-Art9,DORA,,Authorization & Least Privilege,Access control: limit logical and physical access to ICT assets; need-to-know and least privilege,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C15,DORA-Art9,DORA,,Identity Lifecycle Management,Access management: dedicated management of access rights including provisioning and deprovisioning,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C16,DORA-Art9,DORA,,Multi-Factor Authentication,Strong authentication mechanisms including multi-factor authentication for all critical systems,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C17,DORA-Art9,DORA,,Cryptographic Key Management,Cryptographic key protection: secure management of keys used for authentication and data protection,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C18,DORA-Art9,DORA,,Secure-by-Design Principles,ICT security policies: implement security into ICT systems design and architecture from the outset,FINANCIAL_ENTITY,ONE_TIME,2,YES,,,
DORA-C19,DORA-Art9,DORA,,Secure Coding Practices,ICT security policies for software development: secure development practices; code security standards,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C20,,DORA,,Continuous Security Monitoring,Anomaly detection mechanisms: continuously monitor ICT systems for anomalous behaviour and threats,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C21,,DORA,,Incident Detection & Triage,Early warning indicators: mechanisms to identify and detect ICT-related incidents in real time,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C22,DORA-Art11,DORA,,Containment & Mitigation,Response and recovery: ICT business continuity policy; procedures to respond and recover from incidents,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C23,DORA-Art11,DORA,,Data Restoration & Recovery,Backup policies: tested backup procedures; recovery time and recovery point objectives defined,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C24,DORA-Art11,DORA,,Containment & Mitigation,"Incident response plans with defined roles, communication protocols and escalation procedures",FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C25,,DORA,,Data Restoration & Recovery,Data and system restoration methods: documented and regularly tested procedures to restore operations,FINANCIAL_ENTITY,PERIODIC,2,YES,,,
DORA-C26,,DORA,,Patch Management & Updates,Learning and evolving: post-incident reviews; incorporate findings into patching and update processes,FINANCIAL_ENTITY,TRIGGERED,3,YES,,,
DORA-C27,,DORA,,General Security Awareness,ICT security awareness programmes for all staff; regular cyber hygiene and resilience training,FINANCIAL_ENTITY,PERIODIC,2,YES,,,
DORA-C28,,DORA,,Role-Specific Competence,ICT resilience training programmes tailored to role; specific training for ICT risk management staff,FINANCIAL_ENTITY,PERIODIC,2,YES,,,
DORA-C29,,DORA,,Regulatory Notification,"Crisis communication plans for responsible disclosure of major ICT incidents and vulnerabilities to clients, counterparts and public (Art. 14 = stakeholder communication; formal reporting to authorities = Art. 19 / DORA-C31)",FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C30,,DORA,,Incident Detection & Triage,"Classify ICT-related incidents: classification criteria including client impact, data loss, service disruption",FINANCIAL_ENTITY,TRIGGERED,3,YES,,,
DORA-C31,DORA-Art9,DORA,,Regulatory Notification,"Report major ICT-related incidents to competent authority: initial notification, intermediate and final report",FINANCIAL_ENTITY,TRIGGERED,3,YES,,,
DORA-C32,,DORA,,Compliance Testing,Digital operational resilience testing programme: regular testing of all ICT tools and systems,FINANCIAL_ENTITY,PERIODIC,2,YES,,,
DORA-C33,DORA-Art5,DORA,,Compliance Testing,"Testing of ICT tools, systems and processes using scenario-based tests, vulnerability assessments",FINANCIAL_ENTITY,PERIODIC,2,YES,,,
DORA-C34,,DORA,,Threat-Led Penetration Testing,Advanced testing via threat-led penetration testing (TLPT) for significant financial entities,FINANCIAL_ENTITY,PERIODIC,2,YES,,,
DORA-C35,,DORA,,Vendor Risk Assessment,ICT third-party risk management: general principles; risk-based assessment of all ICT providers,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C36,DORA-Art5,DORA,,Vendor Risk Assessment,Concentration risk assessment: identify and manage risk from critical ICT third-party provider concentration,FINANCIAL_ENTITY,CONTINUOUS,3,YES,,,
DORA-C37,,DORA,,Contractual Security Obligations,Key contractual provisions with ICT providers: mandatory security clauses in all ICT service contracts,FINANCIAL_ENTITY,ONE_TIME,2,YES,,,
DORA-C38,,DORA,,Third-Party Boundary Management,"Contractual rights of access, inspection and audit over ICT third-party service providers",FINANCIAL_ENTITY,ONE_TIME,2,YES,,,
AIA-C01,AI_ACT-Art9,AI_ACT,,Impact & Risk Assessments,"Risk management system for high-risk AI: continuous, iterative process throughout lifecycle",PROVIDER,CONTINUOUS,3,YES,,,
AIA-C02,AI_ACT-Art9,AI_ACT,,Impact & Risk Assessments,"Risk management measures: identify, analyse and estimate known and foreseeable risks of high-risk AI",PROVIDER,CONTINUOUS,3,YES,,,
AIA-C03,AI_ACT-Art9,AI_ACT,,Vulnerability Identification,Testing of high-risk AI: identify appropriate risk management measures; testing against defined metrics,PROVIDER,PERIODIC,2,YES,,,
AIA-C04,AI_ACT-Art9,AI_ACT,,Threat-Led Penetration Testing,Testing to identify and address risks of unintended outcomes including adversarial robustness testing,PROVIDER,PERIODIC,2,YES,,,
AIA-C05,AI_ACT-Art10,AI_ACT,,Data Minimization,"Data governance: data management practices for training, validation and testing datasets",PROVIDER,CONTINUOUS,3,YES,,,
AIA-C06,AI_ACT-Art10,AI_ACT,,Data Minimization,"Training data: relevance, representativeness, freedom from errors; only data necessary for intended purpose",PROVIDER,ONE_TIME,2,YES,,,
AIA-C07,AI_ACT-Art10,AI_ACT,,Retention & Archiving,Data governance practices: examination of training data for biases; documentation and retention of datasets,PROVIDER,CONTINUOUS,3,YES,,,
AIA-C08,AI_ACT-Art5,AI_ACT,,Data Minimization,Special category data in training: strict minimization; only where strictly necessary and with safeguards,PROVIDER,ONE_TIME,2,YES,,,
AIA-C09,,AI_ACT,,Audit Logging & Traceability,Logging capabilities: automatic recording of events throughout the lifetime of the high-risk AI system,PROVIDER,CONTINUOUS,3,YES,,,
AIA-C10,,AI_ACT,,Audit Logging & Traceability,Logs must enable monitoring of operation of AI system with respect to occurrence of situations that may present risk,PROVIDER,CONTINUOUS,3,YES,,,
AIA-C11,,AI_ACT,,Records of Processing,Retain logs for period appropriate to intended purpose; at least 6 months where applicable,PROVIDER,CONTINUOUS,3,YES,,,
AIA-C12,AI_ACT-Art13,AI_ACT,,Information Security Policies,Transparency and provision of information: high-risk AI systems designed to be sufficiently transparent,PROVIDER,ONE_TIME,2,YES,,,
AIA-C13,AI_ACT-Art13,AI_ACT,,Information Security Policies,"Instructions for use: identity of provider, characteristics, capabilities, limitations, performance metrics",PROVIDER,ONE_TIME,2,YES,,,
AIA-C14,,AI_ACT,,Role-Specific Competence,Human oversight: high-risk AI designed to be effectively overseen by natural persons during period of use,PROVIDER,ONE_TIME,2,YES,,,
AIA-C15,,AI_ACT,,Role-Specific Competence,"Human oversight measures: persons assigned must have competence, training and authority to intervene",DEPLOYER,CONTINUOUS,3,YES,,,
AIA-C16,AI_ACT-Art5,AI_ACT,,Vulnerability Identification,"Accuracy, robustness and cybersecurity: high-risk AI must achieve appropriate levels throughout lifecycle",PROVIDER,CONTINUOUS,3,YES,,,
AIA-C17,AI_ACT-Art5,AI_ACT,,Data Integrity Mechanisms,"Robustness: resilience against errors, faults and inconsistencies; fail-safe fallback plans",PROVIDER,CONTINUOUS,3,YES,,,
AIA-C18,AI_ACT-Art5,AI_ACT,,Data Integrity Mechanisms,"Resilience against adversarial manipulation: protection against data poisoning, model poisoning, adversarial inputs",PROVIDER,CONTINUOUS,3,YES,,,
AIA-C19,AI_ACT-Art9,AI_ACT,,Audit Logging & Traceability,Art. 19 = Automatically generated logs: provider shall keep AI system logs (Art. 12(1)) for at least 6 months. Art. 19 is NOT about incident reporting — that is Art. 73.,PROVIDER,CONTINUOUS,3,YES,,,
AIA-C20,,AI_ACT,,Information Security Policies,"Quality management system: written policies, procedures covering all aspects of high-risk AI compliance",PROVIDER,CONTINUOUS,3,YES,,,
AIA-C21,,AI_ACT,,Compliance Testing,QMS includes procedures for design control and verification; regular assessment of effectiveness of measures,PROVIDER,PERIODIC,2,YES,,,
AIA-C22,,AI_ACT,,Impact & Risk Assessments,"QMS includes examination, test and validation procedures; risk management documentation",PROVIDER,CONTINUOUS,3,YES,,,
AIA-C23,,AI_ACT,,Information Security Policies,Deployer obligations: implement appropriate technical and organisational measures to ensure intended use,DEPLOYER,CONTINUOUS,3,YES,,,
AIA-C24,,AI_ACT,,Role-Specific Competence,"Deployer assigns human oversight to persons with necessary competence, training and authority",DEPLOYER,ONE_TIME,2,YES,,,
AIA-C25,,AI_ACT,,Continuous Security Monitoring,Post-market monitoring system: proactively collect and review data on performance of high-risk AI in real world,PROVIDER,CONTINUOUS,3,YES,,,
AIA-C26,,AI_ACT,,Regulatory Notification,Reporting of serious incidents: providers report to market surveillance authorities within prescribed timelines (15 days / 2 days for widespread risk),PROVIDER,TRIGGERED,3,YES,,,
AIA-C27,,AI_ACT,,Compliance Testing,Market surveillance: authorities verify compliance; test AI systems against regulatory requirements,PROVIDER,PERIODIC,2,YES,,,
AIA-C28,AI_ACT-Art5,AI_ACT,,Impact & Risk Assessments,GPAI models with systemic risk: adversarial testing; model evaluation against state-of-the-art benchmarks,PROVIDER,PERIODIC,2,YES,,,
AIA-C29,AI_ACT-Art5,AI_ACT,,Regulatory Notification,GPAI systemic risk: report serious incidents and possible corrective measures to AI Office without delay,PROVIDER,TRIGGERED,3,YES,,,
